cod,seguradora,roa,roe,giro_ativo,endividamento,endividamento_comp,margem_lucro_bruto,margem_lucro_liquido,imobilizacao_ativo,sinistralidade,taxa_despesas_comercializacao,taxa_despesas_adm,combinado,combinado_ampliado,pmcr,liquidez_geral,liquidez_corrente,beneficiarios,tiquete_medio,ativo_total,ativo_circ,ativo_nao,aplicacoes,conta_corrente_cooperados,contraprestacao_a_receber,contraprestacoes_efetivas1,contraprestacoes_efetivas2,contraprestacoes_liquidas,contribuicao_social,creditos_n_opas,creditos_opas,debitos_diversos,debitos_n_opas,debitos_opas,despesas,despesas_adm,despesas_comercializacao,despesas_de_comercializacao_diferidas,despesas_emp,despesas_financeiras,despesas_patrimoniais,disponível,emprestimos_a_pagar,exigivel_a_longo_prazo,imobilizado,imposto_renda,impostos_diferidos,impostos_participacoes_lucro,intangível,investimentos,neg_recuperacao_outras_despesas_operacionais1,operadoras_pas,outras_despesas,outras_despesas_operacionais1,outras_receitas_operacionais1,outros_creditos_opas1,outros_creditos_opas2,outros_valores_e_bens1,outros_valores_e_bens2,outros_valores_e_bens3,participacoes_resultados,passivo_circ,passivo_nao,passivo_total,patrimonio_liquido,prov_contigencias,prov_opas_lp1,prov_perdas_creditos,prov_tecnicas_opas,provisoes,realizável a longo prazo,receita_adm_pas,receita_sus,receitas,receitas_financeiras,receitas_patrimoniais,resultado_acumulado,sinistros_conhecidos,sinistros_indenizaveis_liquidos,taxas_a_receber,titulos_a_receber,tributos_a_recolher,tributos_diretos_opas,variacao_das_prov_tec,variacao_peona,ativo_nivel,receitas_nivel,despesas_emp_nivel,modalidade
324175,unimed sudoeste de minas cooperati,0.0029322643107142694,0.006111331574579739,0.7812043726706888,0.2796047630921239,0.27958941753515076,0.2296901958715762,0.0037535175343294514,0.502321232133057,1.0696481772432673,0.007361173334410509,0.22516414524205464,1.3021734958197326,1.3650682668496597,30.86407788004413,3.5764769846589526,1.7800343527106977,8498,1655.9623429042126,18.01,8.97,9.05,4.2,0.04,0.39,14.21,-0.14,14.21,0.0,1.66,1.21,1.22,0.77,0.0,34.7,3.17,0.1,,0.66,0.13,,0.53,0.07,0.0,4.08,0.0,,0.0,0.03,0.68,,0.76,14.8,1.21,1.25,0.06,,0.76,,,,5.04,4.33,18.01,8.64,0.08,0.0,0.14,2.38,,4.27,,19.02,34.75,-0.52,0.64,,14.83,15.05,,0.61,0.55,-0.14,0.0,0.22,n3,n4,n1,Cooperativa Médica
324213,unimed norte/nordeste-federação in,0.016412087953177938,0.07755900032728841,2.0712778355434085,,0.7099752234422191,0.15416931018585028,0.007923653539638326,0.10995315948505706,0.9124101861186117,0.04344947972790474,0.10727256270532352,1.0631322285518399,1.0757470438253558,36.17137059347406,,1.2536308467212012,54952,9489.212686890376,251.75,224.07,27.68,61.04,0.0,52.39,528.32,-6.87,528.32,-0.01,55.72,52.39,15.26,80.69,,582.7,55.94,22.66,,9.39,5.25,0.0,1.59,16.58,,3.29,-0.02,,-0.02,4.38,6.09,,,18.79,1.24,,0.0,,5.69,0.15,,,178.74,19.74,251.75,53.27,0.32,,2.73,59.28,,13.91,,53.51,586.81,-0.86,11.99,,467.46,475.78,,47.49,6.92,-6.87,,8.31,n4,n5,n4,Cooperativa Médica
324299,plamer plano medico resende ltda  ,0.04018956251572625,0.1081202565992957,2.999062078648134,,0.6262167438058565,,0.013400710442726886,0.31801567793235513,0.6908109618189977,0.018170704041574236,0.08621907669882449,0.7952007425593963,,19.604250329435406,,1.0890547543057676,13420,1891.3438822652756,8.46,5.77,2.69,3.87,,1.38,25.8,-0.42,25.8,0.04,,1.38,0.27,,0.01,25.3,2.19,0.46,,0.27,0.32,,0.08,0.24,,2.69,0.11,,0.15,,,,,1.7,3.03,0.02,,,0.0,,,,5.3,0.02,8.46,3.15,,,0.07,4.67,0.03,,,,25.79,,0.38,,17.27,17.53,,0.44,0.08,-0.42,,0.26,n2,n4,n1,Medicina de Grupo
324345,unimed costa do descobrimento coop,0.16124767817338417,0.32505318561602037,2.3280416884540593,0.46338652457284246,0.45691654792260616,0.2088309391642799,0.06926322624422633,0.0709627967143344,0.7691498593510417,0.005643885962587551,0.13107442667548933,0.9058681719891186,0.9141796714217366,35.754369293357186,2.158025637283727,2.033275458088746,24661,2724.5285341227036,28.86,26.81,2.05,17.39,0.01,6.67,68.73,-1.54,68.77,0.17,1.48,6.67,0.7,0.16,0.28,65.92,8.81,0.38,,2.37,0.55,0.0,0.88,,0.19,1.37,0.45,,0.63,0.28,0.22,,,2.96,0.45,0.01,,,0.39,,,,13.19,1.36,28.86,14.32,,0.19,1.09,10.54,0.14,0.18,,1.48,71.2,-0.06,2.58,,51.12,51.68,,0.0,1.36,-1.54,-0.05,0.56,n3,n4,n3,Cooperativa Médica
324361,caixa de assistência à saúde - cab,,,,,0.467717239020377,,,0.37611637688586075,,,,,,,,1.333890588298283,21745,,207.79,129.64,78.15,70.69,,42.07,446.11,,446.11,,,51.88,2.33,,0.0,523.13,40.48,11.33,,15.52,1.75,10.59,2.69,,,57.59,,,,2.58,16.63,-0.18,,0.54,6.71,0.11,5.64,4.17,4.36,0.01,,,97.19,0.66,207.79,109.94,31.14,,5.68,91.71,,1.36,,8.35,468.46,,12.17,,402.45,415.09,,,3.15,,,12.64,n4,n5,n5,Medicina de Grupo
324477,caixa de previdência e assistência,,,5.356360070049283,1.463853974442452,1.4207935940437073,0.1189055126384965,,0.018588483108450314,0.8750751965832195,,0.1328022534185293,,,18.500039835189522,0.6831282473928978,0.6907488329098976,61619,8711.735281487852,100.22,98.36,1.86,68.18,,23.66,538.11,-1.3,538.11,,0.02,27.59,7.29,,0.39,586.95,71.29,,,28.83,0.63,,1.94,,4.32,,,,,0.69,,-0.0,,4.06,39.25,3.68,3.37,0.56,0.63,,,,142.39,4.32,100.22,-46.49,0.69,4.32,1.29,131.38,1.7,1.17,,0.83,551.66,,10.34,,467.49,469.75,,,1.62,-1.3,,2.25,n4,n5,n5,Autogestão
324493,s.p.a saude- sistema de promoção a,,,,,0.3063993456423204,,,0.2569830331909075,,,,,,,,2.424995279449663,19249,,50.93,37.84,13.09,28.93,,0.76,75.97,,75.97,,,1.11,0.69,,0.01,80.47,8.66,,,3.51,3.29,0.0,6.17,,,0.83,,,,1.4,,-0.0,,,2.62,0.16,0.16,0.19,1.57,0.05,,,15.61,12.06,50.93,23.27,0.65,,0.44,14.51,,10.86,,,81.43,,5.3,,64.0,64.82,,0.01,0.4,,,0.82,n4,n4,n3,Autogestão
324523,unimed paraiba - federaçao das soc,0.13443722247927672,0.17397614171972747,0.21982647533467306,0.17119959582946165,0.1705381294861135,,0.6115606515302756,0.4017565161595071,0.012902631555456396,,2.4770347752838595,,,194.98543358328124,5.841135285133135,3.507974935829271,1637,661.7488637751986,4.93,2.95,1.98,2.29,,0.59,1.14,-0.05,1.14,0.02,,0.59,0.37,0.0,,2.75,2.68,,,0.49,0.05,,0.06,,0.0,0.63,0.04,,0.07,0.01,1.2,,,,,,,,0.0,,,,0.84,0.28,4.93,3.81,,0.0,,0.35,,0.14,,1.77,3.48,,0.27,,0.0,0.01,,0.01,0.12,-0.05,,0.01,n2,n2,n1,Cooperativa Médica
324566,unimed de catalão cooperativa de t,0.038315451907173746,0.17221993558343027,2.2446289992519786,0.596687195444377,0.593643955966981,0.2540644863749183,0.01706983734057715,0.39410773743625344,0.8617942710760931,0.00848435040984397,0.16858658645735336,1.0388652079432905,1.051924270160623,13.427155563992748,1.6759199923089683,1.0206324118584083,17739,2120.47446699363,16.76,10.15,6.6,4.15,0.01,1.12,38.23,-0.61,38.23,0.04,3.26,1.4,0.97,1.71,0.43,43.3,6.34,0.32,,2.07,0.33,,0.79,0.16,0.05,3.51,0.09,,0.13,0.0,0.88,,,1.2,0.44,0.17,0.29,,0.33,0.01,0.04,,9.95,3.08,16.76,3.73,0.47,0.05,1.79,6.0,,2.21,,5.55,44.07,-0.14,0.86,,32.65,32.42,,0.18,0.66,-0.61,-0.0,-0.24,n3,n4,n3,Cooperativa Médica
325031,unimed de lençois paulista - coope,0.0865892930005676,0.3387685564053164,1.3624832311734327,0.47567037454757966,0.4746149752296521,0.24401933720096153,0.06355255684577706,0.3434841219187148,0.8617787909895097,0.006230012898995367,0.21338292792382454,1.0813917318123296,1.1104711499012017,38.95850222759613,2.1022961561377906,1.383259931407804,20023,2141.38305099136,31.47,20.66,10.81,11.26,,4.3,43.61,-0.73,43.6,,0.56,4.64,1.62,0.38,,50.78,9.15,0.27,,3.33,1.09,,0.81,0.05,0.03,1.58,,,0.06,0.52,0.32,,0.34,3.22,0.05,0.73,0.0,,0.79,0.01,1.21,0.06,14.94,8.49,31.47,8.04,,0.03,0.05,10.82,,8.38,,7.76,53.56,-0.03,2.21,,36.65,36.95,,1.38,2.06,-0.73,0.01,0.3,n3,n4,n3,Cooperativa Médica
325074,green line sistema de saúde s.a   ,0.01639999581659769,0.030916723632391074,1.4158009655463553,0.2799975263775043,0.24100720280110352,0.23637635419555864,0.011583546145039503,0.7435700950658494,0.7816268887069154,0.02387141245679353,0.1629689263615023,0.9684672275252113,,9.562889712254393,3.571460123014653,1.0639927021010036,461958,1755.4132605345073,572.77,146.88,425.89,105.47,,21.54,815.97,-5.05,815.97,1.04,,21.54,29.3,,1.51,838.6,132.16,19.36,,25.09,22.27,0.03,0.58,12.99,22.33,424.7,2.86,,3.9,0.32,,,,9.76,1.21,,,,13.58,,,,138.04,130.9,572.77,303.83,,22.33,19.97,84.59,4.2,0.87,,24.36,851.89,,16.61,,633.55,633.84,,5.71,5.45,-5.05,,0.29,n4,n5,n5,Medicina de Grupo
325082,unimed do oeste da bahia cooperati,0.06893644524498031,0.15952635825189662,0.6561229292005463,,0.24795588684038408,0.23974687347352402,0.10506635597840788,0.05992699587999525,0.7983401486117155,0.0005037975098077213,0.2345758340258578,1.033419780147381,,17.503484193853883,,3.7912913304823257,7730,1604.627826649418,18.9,17.77,1.13,16.74,0.01,0.6,12.5,-0.1,12.5,0.05,0.06,0.6,0.36,,,21.82,2.91,0.01,,0.56,0.26,,0.3,,,0.18,0.05,,0.1,0.07,0.22,,,7.8,0.18,0.0,,,0.07,0.0,0.0,,4.69,6.05,18.9,8.17,,,0.77,3.9,0.12,0.66,,8.27,23.22,,2.55,,9.9,9.9,,0.0,0.31,-0.1,,,n3,n4,n1,Cooperativa Médica
325236,assistência médica são miguel ltda,0.07727253533569839,0.2031573650292716,2.7008473646808673,0.6116764301431633,0.5479820402200387,,0.028610478454353133,0.3689818075640721,0.7872223611991718,0.006630311839894627,0.1891149712419915,0.9829676442810579,,10.860161736495124,1.6348512885578235,1.1515307913787585,22859,1476.3271766044008,12.5,7.88,4.61,6.56,,1.02,34.66,-0.91,34.66,0.08,,1.02,0.26,,0.0,33.4,6.38,0.22,,1.81,0.2,,0.0,,0.8,4.57,0.19,,0.27,0.04,,,,,0.02,,,,0.22,,,,6.85,0.9,12.5,4.75,,0.8,0.0,6.29,,0.0,,,34.64,,0.89,,26.46,26.57,,0.08,0.29,-0.91,,0.11,n3,n4,n2,Medicina de Grupo
325465,ampara assistência médica paraíso ,0.020365755922407348,0.034570085751105706,1.6979786464441562,0.378462009980407,0.3768623022317273,0.16370014551566384,0.011994117808876196,0.23192811441438363,0.7760864448063122,0.001101606057034501,0.15112217621041418,0.9283102270737609,0.9373344776412341,14.68643574938356,2.6422731308005525,2.03807035364694,9620,2397.631444906445,13.58,10.43,3.15,8.67,,0.94,23.83,-0.76,23.85,-0.03,0.02,0.94,0.31,,,25.5,3.49,0.03,,0.96,0.16,0.0,0.19,,0.02,2.95,-0.11,,-0.14,0.06,0.0,,,2.72,0.83,0.01,,,0.13,0.01,,,5.12,0.46,13.58,8.0,0.36,0.02,0.01,4.33,0.0,0.14,,1.33,25.63,-0.06,1.22,,18.02,17.9,,0.48,0.48,-0.76,-0.03,-0.12,n3,n4,n1,Medicina de Grupo
325571,unimed nordeste rs sociedade coope,0.0028164198762370405,0.007313205857651311,1.7165715027841228,0.4242011817105925,0.38076664054214177,0.1397692586321621,0.0016407238915880078,0.5943537264470723,0.8486660811422536,0.0036535709738089854,0.12124076637550064,0.9735604184915632,0.9818730781902147,17.361736946328726,2.3573720279785575,1.0653408948204128,199111,3195.1599748883787,370.62,150.34,220.28,74.3,,30.19,643.55,-7.36,643.66,0.86,15.85,30.68,36.72,11.82,,751.96,77.13,2.32,,24.73,5.01,0.03,13.15,4.6,16.1,124.77,2.17,,3.03,1.66,5.25,,,107.9,7.16,0.85,0.49,,13.84,0.11,,,141.12,86.77,370.62,142.73,6.67,16.1,5.81,74.63,,88.6,,100.54,756.03,-0.37,13.14,,541.8,539.91,,2.39,13.35,-7.36,-0.1,-1.89,n4,n5,n5,Cooperativa Médica
326089,unimed de fernandopolis - cooperat,0.028996733401069254,0.09149112834929268,1.197075421598348,0.4005070398221921,0.4003924251084697,0.21307038334725129,0.024222979503123125,0.4785576180000641,0.8498150677262472,0.0026456352907632827,0.1909500235557184,1.043410726572729,,14.603647225743345,2.496835013047354,1.3023282891994594,7061,3024.732713496672,17.84,9.3,8.54,5.45,,0.78,21.59,-0.23,21.59,0.01,1.0,0.87,0.42,1.2,0.65,34.32,4.08,0.06,,0.67,0.71,,0.25,0.35,0.0,3.0,0.01,,0.02,0.02,0.86,,0.09,10.97,0.25,0.0,,,0.44,0.01,0.58,,7.14,5.04,17.84,5.65,,0.0,0.11,3.41,,4.66,,12.31,34.85,,0.92,,18.07,18.15,,0.7,1.12,-0.23,,0.08,n3,n4,n1,Cooperativa Médica
326305,amil assistência médica internacio,-0.02189986532300226,-0.039557239358326404,1.148230673801119,0.2219596495049825,0.22181336876138116,0.14578039121158404,-0.019072705356759576,0.7668806115218046,0.8485074619513306,0.0528637839066998,0.10436064412129191,1.0057318899793224,,6.320133202952142,4.505323387517569,1.050970866994842,3477691,4797.311108919683,14529.8,3387.18,11142.62,2965.77,,292.9,16983.16,-299.6,16984.05,,0.0,292.9,154.3,,419.24,17699.39,1741.11,881.96,,406.46,251.51,182.04,4.15,59.47,2.13,441.23,,-64.39,-64.39,1309.29,6101.09,-43.25,,185.24,332.03,0.75,,,32.87,9.57,,,3222.9,3262.84,14529.8,8044.06,,2.13,12.63,2470.21,,3291.02,,89.94,17316.8,,369.93,,14022.5,14156.13,,81.92,119.69,-299.6,-0.88,133.63,n4,n6,n6,Medicina de Grupo
326500,sobam centro médico hospitalar s.a,0.09393983755496887,0.1863070436834374,2.6454927491289943,0.3992488284300424,0.3952919607091091,0.2232992567801789,0.035509391430348,0.5273260924521118,0.7911162026942732,0.011247708935720122,0.15658494208585663,0.9589488537158499,,7.44997965653798,2.5047036554428446,1.1957589693955948,106253,2160.648441361656,86.78,41.02,45.76,30.16,,4.32,239.62,-10.04,239.62,1.1,0.23,4.75,11.16,,0.36,233.74,35.95,2.58,0.11,8.46,1.15,0.03,0.08,2.77,0.34,44.69,2.69,,3.78,0.33,,,0.42,7.22,0.75,0.29,0.02,,5.26,0.09,,,34.3,8.72,86.78,43.76,2.25,0.34,2.19,15.99,0.0,0.74,,10.53,245.67,,5.16,,181.85,181.62,,0.34,4.03,-10.04,,-0.23,n4,n5,n4,Medicina de Grupo
326755,associação evangelica beneficente ,,,,0.6722866953207534,0.6654684307291489,,,0.5726643615427676,,,,,,,1.4874606428480517,0.6421576422325608,42583,,75.86,32.42,43.44,11.39,,10.14,85.41,,85.4,,3.63,10.14,15.34,6.71,0.8,181.06,70.45,0.67,,41.61,5.6,,0.68,4.72,0.52,33.68,,,,0.29,1.97,,,26.34,0.03,,,,6.55,0.03,,,50.48,32.41,75.86,-7.03,,0.52,1.65,19.92,,7.5,,81.69,174.27,,3.09,,74.98,76.33,,,2.99,,0.01,1.35,n4,n5,n5,Filantropia
326861,promédica - proteção medica a empr,0.029567167580267575,0.09686356610452873,2.4133051753625527,0.43305762809294124,0.4046812022975914,0.1636490936024362,0.012251731725485434,0.6004724546238911,0.8484582240000182,0.011570455252126894,0.1306619864611629,0.9906906657133081,,23.458449338724723,2.309161495211865,0.9872648966835561,70627,3050.4435872966433,89.27,35.67,53.61,12.4,,14.04,218.72,-3.28,218.9,0.11,2.5,14.04,11.78,,,231.55,28.15,2.49,,5.24,5.74,,0.31,4.96,2.53,15.19,0.28,,0.4,0.35,31.58,,,10.93,0.06,0.01,,,2.37,0.26,,,36.13,25.9,89.27,27.25,0.44,2.53,0.94,13.22,0.42,6.49,,13.54,234.59,,3.92,,183.85,182.79,,3.79,5.74,-3.28,-0.18,-1.06,n4,n5,n4,Medicina de Grupo
327328,casa de saúde nossa senhora de fát,0.0635228370515269,0.08515622533073348,1.3387641364640919,,0.21254293971402524,0.9852279013244697,0.04744886371045294,0.3591372261212836,0.7833237038689502,,0.8885453707274324,,,2.532334148138224,,3.0152155359335477,277,4105.742490974729,0.85,0.54,0.31,0.5,,0.01,1.21,-0.08,1.21,0.02,,0.01,0.05,,,2.85,1.01,,,0.32,0.04,,0.04,,,0.31,0.03,,0.05,,,,,0.91,,,,,,,,,0.18,0.04,0.85,0.63,,,,0.1,,,,1.78,2.95,,0.03,,0.9,0.89,,0.0,0.03,-0.08,,-0.01,n1,n2,n1,Medicina de Grupo
327352,unimed são sebastião do paraíso co,,,1.032433627619031,0.20592442592101468,0.20592442592101468,0.3422698348153573,,0.3833956328454774,0.773853028884012,0.000297154028445685,0.25919522447948207,1.03334540739194,,12.005249759656767,4.856150481068061,2.9943235941861026,6225,3561.7134843373497,21.48,13.24,8.23,10.58,,0.74,22.77,-0.6,22.77,,0.17,0.74,0.22,0.58,,24.41,5.75,0.01,,1.61,0.11,,0.75,0.0,0.0,5.88,,,,0.11,0.4,,,0.59,0.74,0.05,,,0.12,,0.02,,4.42,1.66,21.48,15.4,,0.0,0.05,3.3,,1.85,,3.16,26.73,,1.23,,17.16,17.16,,0.88,0.32,-0.6,,,n3,n4,n2,Cooperativa Médica
327417,austaclinicas assistência médica e,0.057520351978166906,0.1126412179639603,3.4620207951246043,0.47575357850330896,0.40224599675241424,0.1433870791700691,0.01661467546906998,0.4291525798562808,0.8480582572185282,0.019496231314907828,0.09516576441485129,0.9627202529482873,0.9673218154182528,6.250231660907505,2.1019284881596425,1.4191500344379577,65810,1929.195417717672,36.67,20.93,15.74,16.35,,2.13,129.03,-2.07,129.03,0.0,0.0,2.2,1.32,0.01,0.42,128.21,12.08,2.48,,4.34,0.6,0.0,1.35,,2.7,11.63,0.0,0.0,0.0,0.08,0.0,,,1.39,0.53,0.26,0.07,0.0,0.44,0.03,,,14.75,3.19,36.67,18.73,0.95,2.7,2.51,11.78,0.39,4.03,,0.3,130.32,-0.01,2.79,,107.56,107.67,,0.56,0.84,-2.07,,0.11,n3,n5,n3,Medicina de Grupo
327468,unimed de itapeva - cooperativa de,,,0.7098125360275287,0.24195635121856796,0.24181368567756484,0.5796683630595814,,0.5907217589929668,0.7227303106548278,0.005039104257727074,0.20449947723113016,0.932268892143685,1.090057528637901,33.11387775866852,4.1329768570392424,1.6925354735826084,10125,1672.9447891358022,23.86,9.77,14.1,4.82,1.18,1.56,17.23,-0.29,17.23,,1.05,1.56,0.77,0.47,0.0,25.55,3.46,0.09,,1.14,2.24,0.0,0.47,0.52,0.0,0.55,,,,0.0,13.35,0.0,,6.83,0.24,0.02,,0.0,0.06,0.01,0.05,,5.77,0.42,23.86,17.68,,0.0,0.45,2.35,,0.2,,11.95,29.75,-0.21,0.89,,12.07,12.24,,1.75,0.48,-0.29,0.0,0.17,n3,n4,n2,Cooperativa Médica
327557,caixa assistencial e beneficente d,,,,,0.18084056329827858,,,0.0028810931663983135,,,,,,,,5.958822217722734,10530,,48.05,47.91,0.14,44.08,,3.29,36.83,,36.83,,,3.66,0.17,,0.65,38.15,3.27,,,1.21,0.95,0.0,0.04,,,0.07,,,,0.0,,,,0.33,0.05,0.0,0.36,0.0,0.13,,,,8.04,0.06,44.46,36.36,0.42,,0.02,3.37,,0.07,,0.12,41.74,,4.79,,32.73,33.12,,0.0,3.85,,,0.39,n3,n4,n2,Autogestão
327638,unimed são joão nepomuceno coopera,-0.08581613166847907,-0.18059955179584364,1.8737349354728579,,0.369036856382877,,-0.04579950453174553,0.46029729607325415,0.9118642364850653,0.005221992446046567,0.19699730566141743,1.1140835345925293,,10.156250281456096,,1.4624628803113435,6248,1480.2782042253518,4.94,2.66,2.27,1.73,,0.24,9.37,-0.12,9.37,0.01,0.09,0.26,0.05,0.0,0.01,10.95,1.82,0.05,,0.3,0.17,,0.17,0.0,,1.4,0.02,,0.04,0.0,0.14,,,,0.43,0.43,0.03,,0.3,0.0,0.0,,1.82,0.77,4.94,2.35,,,0.04,1.68,,0.73,,0.57,10.57,,0.31,,8.0,8.43,,0.12,0.07,-0.12,,0.44,n2,n4,n1,Cooperativa Médica
327689,unimed maceio cooperativa de traba,,,2.0109238705368373,0.5008646005953773,0.4971766068658671,0.08945271232379146,,0.3277344685512295,0.8269480695227928,0.004242031887863333,0.09411480870364157,0.9253049101142976,,24.557239424246244,1.9965475675687616,1.3521664578843315,124222,3737.8695422710953,230.9,155.23,75.67,92.49,1.74,31.36,470.65,-6.33,470.66,,12.53,31.67,9.77,3.68,0.15,547.21,43.7,1.97,,9.59,7.61,5.01,6.35,1.84,0.85,23.94,,,,0.52,1.94,,,99.91,,0.06,0.32,,6.0,0.06,0.02,,114.8,65.36,230.9,50.74,,0.85,5.03,84.17,0.49,49.27,,61.09,547.72,,16.67,,378.95,383.97,,6.11,12.96,-6.33,-0.01,5.03,n4,n5,n4,Cooperativa Médica
328073,unimed de votuporanga - cooperativ,0.04333911471966411,0.11242756155747156,1.4598301803993647,,0.38159511606394575,0.1905410839622925,0.029687778278298,0.24613285394094503,0.9188015958085719,0.008777550720964698,0.14993523430522265,1.0775143808347591,1.104136009279547,4.142634918982143,,1.9755681200404196,9008,3762.3640974689165,23.22,17.5,5.71,13.04,0.05,0.36,34.23,-0.34,34.23,0.15,2.91,0.39,1.34,,0.01,58.56,5.08,0.3,,1.33,0.39,,0.4,,,1.82,0.39,,0.53,0.11,1.05,,0.0,21.25,0.11,0.01,0.03,,0.48,0.0,,,8.86,5.41,23.22,8.95,0.01,,0.28,6.54,,2.74,,24.96,60.1,-0.43,1.66,,30.89,31.14,,0.28,0.92,-0.34,,0.25,n3,n4,n2,Cooperativa Médica
328294,unimed nordeste paulista - fed. in,0.07867694883568392,0.23244182087427373,1.3296211210388034,0.39266515413767983,0.3924779612552493,0.14834150377588365,0.05917245716901321,0.3052489818394654,0.941974541526598,0.008783312607708486,0.13685262306776824,1.0876104772020747,,25.648495672851535,2.546699113640654,1.770165682522747,42525,3792.8734753674316,121.31,84.28,37.03,35.68,2.26,10.45,162.92,-1.63,162.93,0.4,1.58,11.49,23.86,0.0,1.96,191.36,22.07,1.42,,4.93,2.68,0.0,2.98,0.0,0.02,3.52,1.09,,1.61,0.2,2.32,,1.04,11.7,0.05,5.15,,,26.02,0.25,0.08,0.13,47.61,32.64,121.31,41.06,,0.02,1.52,17.28,,31.0,,26.26,202.52,,9.41,,150.47,151.93,,6.19,2.25,-1.63,-0.01,1.47,n4,n5,n3,Cooperativa Médica
328308,unimed de mococa cooperativa de tr,0.11939478669502063,0.30324677335006023,1.2786921279740793,0.37202566306103724,0.37202566306103724,0.355302624011519,0.09337258287824612,0.2970153963492919,0.6641988894615021,0.002247333087378212,0.1399011064516511,0.8063473290005314,0.8295463067921178,17.01538874221479,2.687986607622638,1.8896131999780115,12166,1485.682647542331,14.14,9.94,4.2,7.94,,0.85,18.53,-0.45,18.53,0.07,0.8,0.85,0.5,0.31,0.0,18.85,2.53,0.04,,0.65,0.47,,0.03,,0.0,0.51,0.17,,0.26,0.01,0.13,,,0.98,2.86,0.54,,,0.21,0.01,,0.02,5.26,3.31,14.14,5.57,,0.0,-0.03,4.27,0.0,3.54,,1.33,20.8,-0.03,0.88,,11.9,12.01,,0.09,0.18,-0.45,,0.1,n3,n4,n1,Cooperativa Médica
328332,ami - assistência médica infantil ,,,2.4206415547834053,,0.42128792117598274,,,0.4305389647431765,0.7632673288995951,0.021614193275668433,0.24211553529739882,1.0269970574726623,,23.997822070047995,,1.3517146033221898,18277,552.0129074793456,4.17,2.37,1.79,1.26,,0.67,10.38,-0.29,10.38,,,0.67,0.13,,0.0,10.84,2.44,0.22,,0.02,0.38,,0.22,0.26,,1.79,,,,,,,,,,,,,0.2,,,,1.76,1.37,4.17,1.04,,,0.1,1.18,,,,,10.25,,0.16,,7.67,7.7,,0.01,0.18,-0.29,,0.03,n2,n4,n1,Medicina de Grupo
328375,unimed região da fronteira - rs co,,,1.499056371821122,0.29477876445541734,0.2924283511392671,0.29061469808177604,,0.45094738156547975,0.7036475330870502,0.003228181099227903,0.2426207912421648,0.9494965054284428,0.9925348709597708,10.354676473500529,3.3923746232108285,1.8775628843628691,4461,4692.9619300605245,13.97,7.67,6.3,3.27,0.12,0.6,21.25,-0.31,21.25,,1.72,0.6,0.72,0.0,0.72,29.18,5.08,0.07,,1.35,0.66,,0.51,0.0,0.03,1.48,,,,0.03,1.4,,,8.01,0.04,0.23,,,0.96,,0.0,,4.08,3.35,13.97,6.53,,0.03,0.59,2.14,0.0,3.38,,7.89,29.54,-0.25,0.53,,14.51,14.73,,0.61,0.38,-0.31,,0.22,n3,n4,n2,Cooperativa Médica
328537,med-tour administradora de benefíc,,,1.455879129468489,0.36470013732851586,0.3588343328177427,0.2060393683618935,,0.5316337343657324,0.7883511792903989,0.06476434217759888,0.11204845865238212,0.9651639801203798,,11.35313178175379,2.741978676852585,1.305243737287975,40512,2197.5016792555293,61.15,28.64,32.51,16.71,,2.78,89.41,-0.38,89.41,,,2.81,1.51,0.05,0.44,93.95,9.98,5.77,,3.36,2.32,0.3,0.46,1.03,0.36,15.24,,,,,5.56,,,0.5,0.35,0.19,0.01,0.02,7.02,1.28,,,21.94,17.84,61.15,21.37,,0.36,4.56,15.67,0.32,11.71,,0.0,92.1,,2.89,,69.48,70.18,,0.38,2.92,-0.38,,0.71,n4,n4,n3,Medicina de Grupo
328596,unimed uruguaiana/rs cooperativa d,0.05181429066723029,0.38507633823699405,1.1180666818006968,0.2800089050411014,0.2774194011640171,0.22322401655376448,0.04634275532098053,0.5116416079363816,0.8433335754231853,0.010226526877397878,0.22180567997407913,1.0753657822746623,1.135754793395675,15.728897146982604,3.5713149903329473,1.760361351854008,7859,3197.423187428426,22.48,10.98,11.5,7.42,0.18,1.02,25.61,-0.48,25.61,0.1,1.42,1.1,1.11,0.34,0.0,31.81,5.57,0.26,,1.13,1.08,,0.19,0.62,0.06,0.71,0.26,,0.36,0.04,0.96,-2.66,,5.6,0.78,0.07,0.08,,0.51,0.01,0.01,,6.24,13.22,22.48,3.02,,0.06,-0.0,3.31,,9.79,,7.27,33.34,-0.26,1.02,,21.78,21.19,,0.31,0.68,-0.48,,-0.59,n3,n4,n2,Cooperativa Médica
